,Unnamed: 0_x,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Unnamed: 0_y,Song,Main composer,Singer
51,77,MARTHA MY DEAR,The Beatles,The Beatles,148573,9,1968,55,0.47200000000000003,0.292,10,0.39,1,0.0321,0.872,0.0007,0.128,0.8240000000000001,177.62400000000002,8.0,MARTHA MY DEAR,McCartney,McCartney
52,78,I'M SO TIRED,The Beatles,The Beatles,123493,10,1968,56,0.433,0.483,9,0.6729999999999999,1,0.175,0.6559999999999999,2.64e-05,0.539,0.7170000000000001,68.492,,,,
53,79,BLACKBIRD,The Beatles,The Beatles,138386,11,1968,74,0.6859999999999999,0.127,7,0.857,1,0.0342,0.754,1.4099999999999999e-05,0.0573,0.37200000000000005,93.699,10.0,BLACKBIRD,McCartney,McCartney
54,80,PIGGIES,The Beatles,The Beatles,124266,12,1968,50,0.542,0.445,8,0.614,1,0.0303,0.643,0.0,0.516,0.52,93.245,11.0,PIGGIES,Harrison,Harrison
55,81,ROCKY RACCOON,The Beatles,The Beatles,213106,13,1968,57,0.599,0.363,7,0.777,1,0.0315,0.33299999999999996,0.0,0.243,0.648,79.456,12.0,ROCKY RACCOON,McCartney,McCartney
56,82,DON'T PASS ME BY,The Beatles,The Beatles,230453,14,1968,50,0.599,0.537,0,1.0,1,0.0254,0.594,1.92e-05,0.19399999999999998,0.946,84.895,,,,
57,83,WHY DON'T WE DO IT IN THE ROAD?,The Beatles,The Beatles,101160,15,1968,50,0.589,0.522,2,0.9079999999999999,1,0.0521,0.53,0.00024300000000000002,0.0993,0.9570000000000001,187.688,,,,
58,84,I WILL,The Beatles,The Beatles,105933,16,1968,63,0.631,0.387,5,0.622,1,0.0262,0.742,0.00040599999999999995,0.0822,0.8320000000000001,103.11,15.0,I WILL,McCartney,McCartney
59,85,JULIA,The Beatles,The Beatles,176666,17,1968,55,0.512,0.0953,2,0.466,1,0.0304,0.828,0.000268,0.11699999999999999,0.193,134.70600000000002,16.0,JULIA,Lennon,Lennon
60,86,BIRTHDAY,The Beatles,The Beatles,163080,1,1968,53,0.541,0.727,2,0.433,1,0.0384,7.37e-05,0.7170000000000001,0.23199999999999998,0.91,139.239,17.0,BIRTHDAY,McCartney,Lennon/McCartney
61,87,YER BLUES,The Beatles,The Beatles,240453,2,1968,51,0.327,0.525,9,0.39,1,0.0475,0.000875,0.259,0.133,0.435,151.766,18.0,YER BLUES,Lennon,Lennon
62,88,MOTHER NATURE'S SON,The Beatles,The Beatles,168026,3,1968,53,0.608,0.17800000000000002,2,0.9520000000000001,1,0.0264,0.634,0.35200000000000004,0.166,0.401,84.78,,,,
63,89,EVERYBODY'S GOT SOMETHING TO HIDE EXCEPT ME AND MY MONKEY,The Beatles,The Beatles,144773,4,1968,49,0.523,0.731,2,0.382,1,0.0559,0.0207,0.00046399999999999995,0.081,0.81,117.089,,,,
64,90,SEXY SADIE,The Beatles,The Beatles,195266,5,1968,51,0.5770000000000001,0.624,0,0.45799999999999996,1,0.0285,0.33,0.006220000000000001,0.11699999999999999,0.6709999999999999,75.47800000000001,21.0,SEXY SADIE,Lennon,Lennon
65,91,HELTER SKELTER,The Beatles,The Beatles,269786,6,1968,63,0.166,0.831,9,0.46399999999999997,1,0.0894,0.000606,0.846,0.8109999999999999,0.281,167.518,22.0,HELTER SKELTER,McCartney,McCartney
66,92,"LONG, LONG, LONG",The Beatles,The Beatles,186306,7,1968,50,0.349,0.129,5,0.9079999999999999,1,0.0294,0.539,0.405,0.192,0.163,104.837,,,,
67,93,REVOLUTION 1,The Beatles,The Beatles,255706,8,1968,51,0.386,0.626,9,0.415,1,0.0377,0.0785,0.00164,0.621,0.695,98.425,24.0,REVOLUTION 1,Lennon,Lennon
68,94,HONEY PIE,The Beatles,The Beatles,161160,9,1968,51,0.537,0.297,7,0.578,1,0.0822,0.88,1.4999999999999999e-05,0.145,0.5529999999999999,144.197,25.0,HONEY PIE,McCartney,McCartney
69,95,SAVOY TRUFFLE,The Beatles,The Beatles,174466,10,1968,48,0.623,0.544,11,0.542,0,0.0536,0.008140000000000001,0.309,0.134,0.7929999999999999,120.76100000000001,26.0,SAVOY TRUFFLE,Harrison,Harrison
70,96,CRY BABY CRY,The Beatles,The Beatles,182080,11,1968,50,0.517,0.529,9,0.34,0,0.0323,0.115,0.00396,0.174,0.36200000000000004,76.64399999999999,27.0,CRY BABY CRY,Lennon,Lennon
71,97,REVOLUTION 9,The Beatles,The Beatles,502013,12,1968,45,0.20800000000000002,0.615,2,0.268,0,0.342,0.769,0.11800000000000001,0.8240000000000001,0.10099999999999999,91.15799999999999,28.0,REVOLUTION 9,Lennon,
72,98,GOOD NIGHT,The Beatles,The Beatles,193760,13,1968,49,0.146,0.355,7,0.7490000000000001,1,0.0352,0.865,0.835,0.114,0.17800000000000002,146.408,29.0,GOOD NIGHT,Lennon,Starr
73,99,MAGICAL MYSTERY TOUR,The Beatles,Magical Mystery Tour,170106,1,1967,53,0.297,0.613,9,0.612,1,0.0931,0.0385,3.98e-05,0.0734,0.33799999999999997,170.96200000000002,0.0,MAGICAL MYSTERY TOUR,McCartney,McCartney
74,100,THE FOOL ON THE HILL,The Beatles,Magical Mystery Tour,179106,2,1967,57,0.35600000000000004,0.26,4,0.0,0,0.0314,0.9129999999999999,2.1000000000000002e-06,0.105,0.49,144.184,1.0,THE FOOL ON THE HILL,McCartney,McCartney
75,101,FLYING,The Beatles,Magical Mystery Tour,135520,3,1967,50,0.551,0.395,0,0.66,1,0.0501,0.368,0.88,0.0932,0.261,92.929,2.0,FLYING,Lennon/McCartney/Harrison/Starr,
