,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
100,The Fool On The Hill - Remastered 2009,The Beatles,Magical Mystery Tour (Remastered),179106,2,1967-11-27,58,0.356,0.26,4,0,0.0314,0.913,2.1e-06,0.105,0.49,144.184
101,Flying - Remastered 2009,The Beatles,Magical Mystery Tour (Remastered),135520,3,1967-11-27,51,0.551,0.395,0,1,0.0501,0.368,0.88,0.0932,0.261,92.929
102,Blue Jay Way - Remastered 2009,The Beatles,Magical Mystery Tour (Remastered),235066,4,1967-11-27,52,0.294,0.407,0,1,0.0308,0.0258,0.000219,0.0852,0.0378,101.052
103,Your Mother Should Know - Remastered 2009,The Beatles,Magical Mystery Tour (Remastered),148413,5,1967-11-27,55,0.698,0.293,0,1,0.0332,0.784,0.0106,0.0936,0.724,117.613
104,I Am The Walrus - Remastered 2009,The Beatles,Magical Mystery Tour (Remastered),275866,6,1967-11-27,65,0.401,0.556,2,1,0.0513,0.0828,0.000359,0.589,0.654,85.206
105,"Hello, Goodbye - Remastered 2009",The Beatles,Magical Mystery Tour (Remastered),208840,7,1967-11-27,66,0.479,0.733,0,1,0.0256,0.306,2.4e-05,0.414,0.806,99.307
106,Strawberry Fields Forever - Remastered 2009,The Beatles,Magical Mystery Tour (Remastered),247320,8,1967-11-27,71,0.39,0.502,10,1,0.178,0.336,0.000138,0.0713,0.289,97.871
107,Penny Lane - Remastered 2009,The Beatles,Magical Mystery Tour (Remastered),180893,9,1967-11-27,66,0.651,0.488,9,1,0.0316,0.212,0.026,0.136,0.49,113.038
108,"Baby, You're A Rich Man - Remastered 2009",The Beatles,Magical Mystery Tour (Remastered),181306,10,1967-11-27,58,0.619,0.625,7,1,0.036,0.0119,1.05e-06,0.152,0.467,96.751
109,All You Need Is Love - Remastered 2009,The Beatles,Magical Mystery Tour (Remastered),230386,11,1967-11-27,67,0.4,0.48,7,1,0.0295,0.346,3.1e-05,0.155,0.653,103.436
110,Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),122893,1,1967-06-01,65,0.451,0.673,7,1,0.0734,0.0857,0.00225,0.797,0.583,95.513
111,With A Little Help From My Friends - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),164106,2,1967-06-01,67,0.705,0.515,4,1,0.0337,0.365,0.0,0.389,0.803,112.035
112,Lucy In The Sky With Diamonds - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),208466,3,1967-06-01,70,0.311,0.325,2,1,0.0283,0.0469,0.0,0.139,0.668,65.09
113,Getting Better - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),168120,4,1967-06-01,59,0.632,0.471,0,1,0.0348,0.313,5.08e-06,0.0712,0.764,121.672
114,Fixing A Hole - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),156826,5,1967-06-01,59,0.469,0.507,0,0,0.0451,0.382,0.0,0.0783,0.619,112.984
115,She's Leaving Home - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),215160,6,1967-06-01,62,0.381,0.214,4,1,0.0337,0.944,0.0,0.106,0.393,127.581
116,Being For The Benefit Of Mr. Kite! - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),157533,7,1967-06-01,53,0.526,0.413,0,1,0.0446,0.338,0.0,0.0992,0.71,111.874
117,Within You Without You - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),304666,8,1967-06-01,58,0.352,0.479,6,1,0.0338,0.339,0.000353,0.486,0.354,126.166
