,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
112,Bogey Music - Remastered 2011,Paul McCartney,McCartney II,207306,9,1980-05-16,21,0.539,0.564,11,0,0.254,0.0719,0.83,0.368,0.845,199.443
113,Darkroom - Remastered 2011,Paul McCartney,McCartney II,139906,10,1980-05-16,22,0.627,0.495,1,1,0.14,0.0241,0.04,0.416,0.795,75.182
114,One Of These Days - Remastered 2011,Paul McCartney,McCartney II,219106,11,1980-05-16,24,0.351,0.164,1,1,0.0339,0.736,6.59e-06,0.113,0.369,169.018
115,Too Many People - Remastered 2012,Paul McCartney,Ram (Archive Collection),250666,1,1971-05-17,50,0.433,0.675,7,1,0.0325,0.146,0.00251,0.348,0.54,95.052
116,3 Legs - Remastered 2012,Paul McCartney,Ram (Archive Collection),167866,2,1971-05-17,43,0.59,0.546,2,1,0.0799,0.26,0.0023,0.235,0.785,117.318
117,Ram On - Remastered 2012,Paul McCartney,Ram (Archive Collection),149586,3,1971-05-17,51,0.612,0.407,5,0,0.0484,0.805,0.79,0.286,0.574,128.287
118,Dear Boy - Remastered 2012,Paul McCartney,Ram (Archive Collection),133746,4,1971-05-17,47,0.445,0.574,9,0,0.0323,0.609,0.00185,0.214,0.757,75.835
119,Uncle Albert / Admiral Halsey - Medley / Remastered 2012,Paul McCartney,Ram (Archive Collection),295146,5,1971-05-17,56,0.371,0.507,7,1,0.0325,0.58,0.0201,0.175,0.535,91.786
120,Smile Away - Remastered 2012,Paul McCartney,Ram (Archive Collection),232666,6,1971-05-17,43,0.456,0.877,11,0,0.0706,0.0443,0.021,0.471,0.525,123.221
121,Heart Of The Country - Remastered 2012,Paul McCartney,Ram (Archive Collection),143173,7,1971-05-17,52,0.525,0.327,2,0,0.0452,0.838,7.93e-05,0.0932,0.809,172.133
122,Monkberry Moon Delight - Remastered 2012,Paul McCartney,Ram (Archive Collection),324133,8,1971-05-17,52,0.567,0.714,0,0,0.0245,0.308,0.0583,0.537,0.939,97.417
123,Eat At Home - Remastered 2012,Paul McCartney,Ram (Archive Collection),202146,9,1971-05-17,42,0.688,0.779,9,1,0.0292,0.291,0.79,0.0552,0.966,129.234
124,Long Haired Lady - Remastered 2012,Paul McCartney,Ram (Archive Collection),365240,10,1971-05-17,46,0.288,0.579,0,1,0.0274,0.294,0.0893,0.559,0.548,168.334
125,Ram On - Remastered 2012,Paul McCartney,Ram (Archive Collection),55213,11,1971-05-17,41,0.541,0.682,5,0,0.0664,0.777,0.946,0.381,0.548,130.375
126,The Back Seat Of My Car - Remastered 2012,Paul McCartney,Ram (Archive Collection),270933,12,1971-05-17,45,0.263,0.589,10,1,0.0316,0.743,0.00922,0.226,0.491,80.595
127,Another Day - Remastered 2012,Paul McCartney,Ram (Archive Collection),222533,1,1971-05-17,59,0.701,0.335,7,1,0.034,0.293,0.00845,0.0872,0.824,122.239
128,"Oh Woman, Oh Why - Remastered 2012",Paul McCartney,Ram (Archive Collection),274546,2,1971-05-17,39,0.454,0.5,2,1,0.0315,0.00895,0.839,0.107,0.626,176.741
129,Little Woman Love - Remastered 2012,Paul McCartney,Ram (Archive Collection),127773,3,1971-05-17,37,0.72,0.712,0,1,0.0354,0.489,0.0106,0.13,0.898,122.136
130,A Love For You (Jon Kelly Mix) - 2012 Master,Paul McCartney,Ram (Archive Collection),248200,4,1971-05-17,36,0.539,0.78,7,1,0.0314,0.0549,7.01e-05,0.106,0.922,132.46
131,Hey Diddle (Dixon Van Winkle Mix) - 2012 Master,Paul McCartney,Ram (Archive Collection),228720,5,1971-05-17,37,0.656,0.158,0,0,0.0308,0.761,0.263,0.0912,0.545,91.204
132,Great Cock And Seagull Race (Dixon Van Winkle Mix) - 2012 Master,Paul McCartney,Ram (Archive Collection),154960,6,1971-05-17,34,0.579,0.614,2,1,0.0364,0.14,0.92,0.151,0.664,119.597
133,Rode All Night - 2012 Master,Paul McCartney,Ram (Archive Collection),524133,7,1971-05-17,33,0.567,0.884,1,0,0.0931,0.000724,0.322,0.0726,0.568,137.034
