,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Song,Main composer,Singer
102,"HERE, THERE AND EVERYWHERE",The Beatles,Revolver,144880,5,1966,61,0.29,0.247,7,0.575,1,0.0383,0.921,0.00565,0.0917,0.36,165.361,"HERE, THERE AND EVERYWHERE",McCartney,McCartney
103,YELLOW SUBMARINE,The Beatles,Revolver,158880,6,1966,63,0.604,0.549,1,0.738,1,0.0389,0.531,0,0.438,0.696,111.398,YELLOW SUBMARINE,McCartney,Starr
104,SHE SAID SHE SAID,The Beatles,Revolver,156040,7,1966,54,0.329,0.678,3,0.974,1,0.0344,0.103,0.168,0.843,0.672,106.476,SHE SAID SHE SAID,Lennon,Lennon
105,GOOD DAY SUNSHINE,The Beatles,Revolver,129293,8,1966,60,0.77,0.496,11,0.928,1,0.0468,0.719,0,0.123,0.571,117.331,GOOD DAY SUNSHINE,McCartney,McCartney
106,AND YOUR BIRD CAN SING,The Beatles,Revolver,120493,9,1966,59,0.555,0.65,4,0.746,1,0.0282,0.0067,0.0491,0.236,0.966,132.59,AND YOUR BIRD CAN SING,Lennon,Lennon
107,FOR NO ONE,The Beatles,Revolver,119813,10,1966,62,0.483,0.351,1,0.63,0,0.0278,0.783,0,0.115,0.713,81.208,FOR NO ONE,McCartney,McCartney
108,DOCTOR ROBERT,The Beatles,Revolver,134266,11,1966,51,0.394,0.64,4,0.537,1,0.0488,0.164,0.139,0.153,0.574,164.626,DOCTOR ROBERT,Lennon,Lennon
109,I WANT TO TELL YOU,The Beatles,Revolver,147973,12,1966,51,0.493,0.525,9,0.924,1,0.0315,0.182,4.40E-06,0.148,0.449,127.492,I WANT TO TELL YOU,Harrison,Harrison
110,GOT TO GET YOU INTO MY LIFE,The Beatles,Revolver,149240,13,1966,61,0.521,0.524,0,0.424,1,0.0302,0.42,9.27E-06,0.0838,0.711,136.679,GOT TO GET YOU INTO MY LIFE,McCartney,McCartney
111,TOMORROW NEVER KNOWS,The Beatles,Revolver,179546,14,1966,57,0.38,0.829,5,0.707,1,0.0405,8.40E-05,0.00208,0.342,0.0534,125.887,TOMORROW NEVER KNOWS,Lennon,Lennon
112,DRIVE MY CAR,The Beatles,Rubber Soul,148893,1,1965,65,0.754,0.571,2,0,1,0.0421,0.0173,0,0.3,0.82,122.463,DRIVE MY CAR,McCartney,Lennon/McCartney
113,NORWEGIAN WOOD (THIS BIRD HAS FLOWN),The Beatles,Rubber Soul,124693,2,1965,68,0.425,0.369,4,0.842,1,0.0379,0.183,0.00126,0.112,0.65,176.625,NORWEGIAN WOOD (THIS BIRD HAS FLOWN),Lennon,Lennon
114,YOU WON'T SEE ME,The Beatles,Rubber Soul,199960,3,1965,59,0.488,0.539,9,0.686,1,0.0304,0.136,0,0.0538,0.473,115.941,YOU WON'T SEE ME,McCartney,McCartney
115,NOWHERE MAN,The Beatles,Rubber Soul,163693,4,1965,63,0.534,0.624,4,0.565,1,0.0462,0.00797,0,0.128,0.687,121.402,NOWHERE MAN,Lennon,Lennon
116,THINK FOR YOURSELF,The Beatles,Rubber Soul,138520,5,1965,53,0.529,0.567,0,0.606,1,0.0282,0.0124,0,0.0729,0.799,130.544,THINK FOR YOURSELF,Harrison,Harrison
117,THE WORD,The Beatles,Rubber Soul,163106,6,1965,52,0.59,0.641,0,0.455,1,0.0416,0.00682,0,0.0553,0.792,120.773,THE WORD,Lennon/McCartney,Lennon/McCartney
118,MICHELLE,The Beatles,Rubber Soul,162373,7,1965,66,0.578,0.29,5,0.792,0,0.0341,0.652,0,0.105,0.666,117.403,MICHELLE,McCartney,McCartney
119,WHAT GOES ON,The Beatles,Rubber Soul,168573,8,1965,51,0.67,0.776,4,0.258,1,0.0749,0.0168,3.01E-06,0.0732,0.765,96.93,WHAT GOES ON,Lennon/McCartney,Starr
120,GIRL,The Beatles,Rubber Soul,151720,9,1965,62,0.699,0.294,5,0.818,0,0.0294,0.587,0,0.117,0.893,96.615,GIRL,Lennon,Lennon
121,I'M LOOKING THROUGH YOU,The Beatles,Rubber Soul,146386,10,1965,60,0.667,0.498,1,0.378,1,0.0364,0.00772,0,0.0481,0.774,85.843,I'M LOOKING THROUGH YOU,McCartney,McCartney
122,IN MY LIFE,The Beatles,Rubber Soul,146333,11,1965,73,0.688,0.435,9,0.597,1,0.0323,0.449,0,0.113,0.435,103.239,IN MY LIFE,Lennon/McCartney,Lennon
123,WAIT,The Beatles,Rubber Soul,134720,12,1965,52,0.552,0.487,6,0.589,0,0.04,0.0175,0,0.105,0.657,127.201,WAIT,Lennon/McCartney,Lennon/McCartney
124,IF I NEEDED SOMEONE,The Beatles,Rubber Soul,142266,13,1965,53,0.492,0.755,9,0.776,1,0.0331,0.00748,0,0.102,0.796,127.387,IF I NEEDED SOMEONE,Harrison,Harrison
125,RUN FOR YOUR LIFE,The Beatles,Rubber Soul,141093,14,1965,57,0.563,0.705,2,0.019,1,0.103,0.0103,0,0.0552,0.822,176.732,RUN FOR YOUR LIFE,Lennon,Lennon
126,HELP!,The Beatles,Help!,139560,1,1965,71,0.534,0.725,6,0,0,0.0332,0.188,0,0.0994,0.763,95.003,HELP!,Lennon,Lennon
127,THE NIGHT BEFORE,The Beatles,Help!,154933,2,1965,58,0.461,0.762,2,0.194,1,0.0379,0.0537,0,0.238,0.632,84.496,THE NIGHT BEFORE,McCartney,McCartney
128,YOU'VE GOT TO HIDE YOUR LOVE AWAY,The Beatles,Help!,129120,3,1965,64,0.398,0.392,7,0.892,1,0.0282,0.207,0,0.102,0.378,184.267,YOU'VE GOT TO HIDE YOUR LOVE AWAY,Lennon,Lennon
129,I NEED YOU,The Beatles,Help!,148786,4,1965,53,0.601,0.489,9,0.718,1,0.0455,0.277,0,0.0988,0.638,136.215,I NEED YOU,Harrison,Harrison
130,ANOTHER GIRL,The Beatles,Help!,125360,5,1965,49,0.516,0.638,9,0.131,1,0.0314,0.238,0,0.333,0.822,88.657,ANOTHER GIRL,McCartney,McCartney
