,Unnamed: 0,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Song,Main composer,Singer,lead
68,68,HONEY PIE,The Beatles,The Beatles,161160,9,1968,51,0.537,0.297,G,0.578,Major,0.0822,0.88,1.4999999999999999e-05,0.145,0.5529999999999999,144.197,HONEY PIE,McCartney,McCartney,McCartney
69,69,SAVOY TRUFFLE,The Beatles,The Beatles,174466,10,1968,48,0.623,0.544,B,0.542,Minor,0.0536,0.008140000000000001,0.309,0.134,0.7929999999999999,120.76100000000001,SAVOY TRUFFLE,Harrison,Harrison,Harrison
70,70,CRY BABY CRY,The Beatles,The Beatles,182080,11,1968,50,0.517,0.529,A,0.34,Minor,0.0323,0.115,0.00396,0.174,0.36200000000000004,76.64399999999999,CRY BABY CRY,Lennon,Lennon,Lennon
71,71,REVOLUTION 9,The Beatles,The Beatles,502013,12,1968,45,0.20800000000000002,0.615,D,0.268,Minor,0.342,0.769,0.11800000000000001,0.8240000000000001,0.10099999999999999,91.15799999999999,REVOLUTION 9,Lennon,Lennon,Lennon
72,72,GOOD NIGHT,The Beatles,The Beatles,193760,13,1968,49,0.146,0.355,G,0.7490000000000001,Major,0.0352,0.865,0.835,0.114,0.17800000000000002,146.408,GOOD NIGHT,Lennon,Starr,Starr
73,73,MAGICAL MYSTERY TOUR,The Beatles,Magical Mystery Tour,170106,1,1967,53,0.297,0.613,A,0.612,Major,0.0931,0.0385,3.98e-05,0.0734,0.33799999999999997,170.96200000000002,MAGICAL MYSTERY TOUR,McCartney,McCartney,McCartney
74,74,THE FOOL ON THE HILL,The Beatles,Magical Mystery Tour,179106,2,1967,57,0.35600000000000004,0.26,E,0.0,Minor,0.0314,0.9129999999999999,2.1e-06,0.105,0.49,144.184,THE FOOL ON THE HILL,McCartney,McCartney,McCartney
75,75,FLYING,The Beatles,Magical Mystery Tour,135520,3,1967,50,0.551,0.395,C,0.66,Major,0.0501,0.368,0.88,0.0932,0.261,92.929,FLYING,Lennon/McCartney/Harrison/Starr,,Lennon/McCartney
76,76,BLUE JAY WAY,The Beatles,Magical Mystery Tour,235066,4,1967,50,0.294,0.40700000000000003,C,0.7879999999999999,Major,0.0308,0.0258,0.00021899999999999998,0.0852,0.0378,101.052,BLUE JAY WAY,Harrison,Harrison,Harrison
77,77,YOUR MOTHER SHOULD KNOW,The Beatles,Magical Mystery Tour,148413,5,1967,54,0.698,0.293,C,0.306,Major,0.0332,0.784,0.0106,0.0936,0.7240000000000001,117.613,YOUR MOTHER SHOULD KNOW,McCartney,McCartney,McCartney
78,78,I AM THE WALRUS,The Beatles,Magical Mystery Tour,275866,6,1967,64,0.401,0.556,D,0.281,Major,0.0513,0.0828,0.000359,0.589,0.654,85.206,I AM THE WALRUS,Lennon,Lennon,Lennon
